Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1604646000.0,2020-11-06 07-AM,BTCUSD,15713.05,15812.41,15680.06,15758.39,349.57,5510367.1
1604642400.0,2020-11-06 06-AM,BTCUSD,15658.71,15783.85,15649.5,15713.05,408.64,6428583.03
1604638800.0,2020-11-06 05-AM,BTCUSD,15563.66,15730,15503.8,15658.71,475.9,7446434.04
1604635200.0,2020-11-06 04-AM,BTCUSD,15481.46,15600,15446.68,15563.66,231.54,3596134.41
1604631600.0,2020-11-06 03-AM,BTCUSD,15656.6,15698.88,15437.42,15481.46,572.57,8913021.25
1604628000.0,2020-11-06 02-AM,BTCUSD,15778.6,15879.64,15559.61,15656.6,584.12,9175802.83
1604624400.0,2020-11-06 01-AM,BTCUSD,15881.16,15968.98,15755.48,15778.6,702.67,11149087.54
1604620800.0,2020-11-06 12-AM,BTCUSD,15605.04,15959.99,15382.44,15881.16,950.19,14930309.48
1604617200.0,2020-11-05 11-PM,BTCUSD,15561.38,15770.58,15478.62,15605.04,1543.05,24120679.69
1604613600.0,2020-11-05 10-PM,BTCUSD,15245.02,15612.74,15208.12,15561.38,1408.68,21738835.19
1604610000.0,2020-11-05 09-PM,BTCUSD,15103.7,15282,15086.14,15245.02,468.37,7117877.49
1604606400.0,2020-11-05 08-PM,BTCUSD,15146.23,15190,15039.55,15103.7,564.61,8534158.42
1604602800.0,2020-11-05 07-PM,BTCUSD,14959.82,15150.68,14919.7,15146.23,550.17,8287760.98
1604599200.0,2020-11-05 06-PM,BTCUSD,15057.74,15107.65,14670,14959.82,1274.44,19071948.51
1604595600.0,2020-11-05 05-PM,BTCUSD,15173.54,15244.19,14100,15057.74,2021.85,30310752.06
1604592000.0,2020-11-05 04-PM,BTCUSD,15107.65,15315,15107.65,15173.54,1404.78,21387477.44
1604588400.0,2020-11-05 03-PM,BTCUSD,14912.7,15174.7,14873.13,15107.65,1134.72,17018440.38
1604584800.0,2020-11-05 02-PM,BTCUSD,14835.52,14924.9,14794.51,14912.7,628.25,9346726.01
1604581200.0,2020-11-05 01-PM,BTCUSD,14886.47,14999.9,14777.31,14835.52,1873.0,27910352.28
1604577600.0,2020-11-05 12-PM,BTCUSD,14737.49,14932,14617.38,14886.47,761.27,11266448.6
1604574000.0,2020-11-05 11-AM,BTCUSD,14654.69,14748,14496.51,14737.49,592.17,8661684.64
1604570400.0,2020-11-05 10-AM,BTCUSD,14475.29,14666.39,14465.4,14654.69,447.13,6509770.36
1604566800.0,2020-11-05 09-AM,BTCUSD,14458.95,14512.4,14385.6,14475.29,413.37,5975961.52
1604563200.0,2020-11-05 08-AM,BTCUSD,14499.37,14560.36,14369.45,14458.95,775.43,11218737.43
1604559600.0,2020-11-05 07-AM,BTCUSD,14356.45,14527.55,14339.48,14499.37,796.22,11512426.58
1604556000.0,2020-11-05 06-AM,BTCUSD,14332.28,14398,14299.98,14356.45,269.67,3871089.15
1604552400.0,2020-11-05 05-AM,BTCUSD,14305.65,14346.8,14262.28,14332.28,178.94,2559940.8
1604548800.0,2020-11-05 04-AM,BTCUSD,14324.72,14369.54,14259.67,14305.65,336.93,4820644.05
1604545200.0,2020-11-05 03-AM,BTCUSD,14250.99,14380,14250.99,14324.72,279.03,3995358.55
1604541600.0,2020-11-05 02-AM,BTCUSD,14154.78,14328,14137.97,14250.99,336.1,4785722.42
1604538000.0,2020-11-05 01-AM,BTCUSD,14124.97,14197.14,14117.59,14154.78,144.87,2050704.11
1604534400.0,2020-11-05 12-AM,BTCUSD,14160.59,14220,14112.46,14124.97,219.58,3110013.87
1604530800.0,2020-11-04 11-PM,BTCUSD,14150.55,14170.97,14083.2,14160.59,229.99,3250373.17
1604527200.0,2020-11-04 10-PM,BTCUSD,14010.94,14249.42,14010.94,14150.55,301.83,4272716.7
1604523600.0,2020-11-04 09-PM,BTCUSD,14050.01,14084.94,13996.82,14010.94,131.11,1842273.83
1604520000.0,2020-11-04 08-PM,BTCUSD,14125.43,14160,13943.23,14050.01,413.99,5813393.28
1604516400.0,2020-11-04 07-PM,BTCUSD,14106.33,14132.26,14085.31,14125.43,194.01,2738247.5
1604512800.0,2020-11-04 06-PM,BTCUSD,14076.41,14134.53,14032.22,14106.33,435.44,6136496.5
1604509200.0,2020-11-04 05-PM,BTCUSD,14037.24,14277.5,14037.24,14076.41,1557.04,22077388.16
1604505600.0,2020-11-04 04-PM,BTCUSD,13931.81,14059.28,13896.4,14037.24,530.54,7428754.66
1604502000.0,2020-11-04 03-PM,BTCUSD,13858.36,13940,13849.94,13931.81,316.08,4393747.44
1604498400.0,2020-11-04 02-PM,BTCUSD,13855.22,13868.11,13750,13858.36,352.14,4859141.97
1604494800.0,2020-11-04 01-PM,BTCUSD,13840.89,13905.69,13803.49,13855.22,240.03,3324802.58
1604491200.0,2020-11-04 12-PM,BTCUSD,13727.98,13856.02,13715,13840.89,335.27,4628552.76
1604487600.0,2020-11-04 11-AM,BTCUSD,13704,13756.38,13666.72,13727.98,99.52,1364392.9
1604484000.0,2020-11-04 10-AM,BTCUSD,13672.28,13762.35,13620.28,13704,421.53,5780817.7
1604480400.0,2020-11-04 09-AM,BTCUSD,13652.67,13708.69,13643.57,13672.28,265.67,3634915.26
1604476800.0,2020-11-04 08-AM,BTCUSD,13588.12,13709.86,13571.77,13652.67,198.82,2715065.7
1604473200.0,2020-11-04 07-AM,BTCUSD,13802,13817.15,13520.87,13588.12,873.44,11954417.89
1604469600.0,2020-11-04 06-AM,BTCUSD,13795.12,13845.12,13748.46,13802,442.42,6100477.34
1604466000.0,2020-11-04 05-AM,BTCUSD,13910.05,13938.88,13790,13795.12,390.57,5398018.71
1604462400.0,2020-11-04 04-AM,BTCUSD,13920.45,13931.78,13836.13,13910.05,233.63,3244180.35
1604458800.0,2020-11-04 03-AM,BTCUSD,13763.47,13974.45,13757.75,13920.45,949.81,13195789.16
1604455200.0,2020-11-04 02-AM,BTCUSD,13833.93,13900,13688,13763.47,1095.01,15061559.46
1604451600.0,2020-11-04 01-AM,BTCUSD,13782.72,13870.92,13725.37,13833.93,417.67,5762441.1
1604448000.0,2020-11-04 12-AM,BTCUSD,14041.58,14064.93,13770.01,13782.72,500.78,6987268.08
1604444400.0,2020-11-03 11-PM,BTCUSD,13839.6,14083.76,13837.58,14041.58,727.49,10166906.04
1604440800.0,2020-11-03 10-PM,BTCUSD,13741.97,13855.85,13654.2,13839.6,444.98,6134496.6
1604437200.0,2020-11-03 09-PM,BTCUSD,13746.37,13791.09,13733.4,13741.97,167.02,2298986.3
1604433600.0,2020-11-03 08-PM,BTCUSD,13731.02,13779.39,13704.41,13746.37,193.8,2663788.02
1604430000.0,2020-11-03 07-PM,BTCUSD,13753.99,13784.47,13731.02,13731.02,126.49,1740118.73
1604426400.0,2020-11-03 06-PM,BTCUSD,13748.5,13792.39,13746.73,13753.99,227.79,3137197.35
1604422800.0,2020-11-03 05-PM,BTCUSD,13725.37,13786.21,13714.71,13748.5,124.36,1710635.61
1604419200.0,2020-11-03 04-PM,BTCUSD,13713.79,13759.33,13687.14,13725.37,113.05,1551691.43
1604415600.0,2020-11-03 03-PM,BTCUSD,13796.99,13812,13700,13713.79,429.91,5914180.63
